"id","pole_code","latitude","longitude","city","district","neighborhood","street","sequence_no","pole_type","direction_type","arm_type","status"
"01aae9e9-ef46-4d25-8e37-2666cd8a7800","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0008","40.300503","36.555061","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","8","NORMAL","TEK_YONLU","L","AVAILABLE"
"01f3ffbf-1ffe-46a4-b896-28d4a93206c8","TOKAT-PERAKENDE-BEHZAT-BULVARI-0004","40.29656","36.552956","Tokat","Perakende Mahallesi","Perakende","Behzat Bulvarı","4","NORMAL","TEK_YONLU","L","AVAILABLE"
"035c401d-711e-4e8f-9c7a-332202ed2f31","TOKAT-PERAKENDE-BEHZAT-BULVARI-0015","40.295334","36.553187","Tokat","Perakende Mahallesi","Perakende","Behzat Bulvarı","15","NORMAL","TEK_YONLU","L","AVAILABLE"
"07683c23-6b41-4815-903b-8cb84d14ebad","TOKAT-PERAKENDE-0001","40.292476","36.552228","Tokat","Perakende Mahallesi","Perakende","Perakende Civari","1","NORMAL","TEK_YONLU","L","AVAILABLE"
"09c4d65b-5298-4abe-950b-e7f8a2d06d1d","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0004","40.301966","36.554996","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","4","NORMAL","TEK_YONLU","L","AVAILABLE"
"0bc33400-8cdf-4111-9545-819302a21bf9","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0035","40.303142","36.5549","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","35","NORMAL","TEK_YONLU","L","AVAILABLE"
"0c4c6195-3423-476f-8945-ef5e1d6575a4","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0001","40.303216","36.554507","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","1","NORMAL","TEK_YONLU","L","AVAILABLE"
"1587e1ed-a77c-4fdd-84d3-7b3b41161061","TOKAT-DOGUKENT-0007","40.330651","36.567325","Tokat","Doğukent Mahallesi","Doğukent","Doğukent Civari","7","NORMAL","TEK_YONLU","T","AVAILABLE"
"18b4b26e-a621-4572-a4dc-08189241362a","TOKAT-SOGUKPINAR-GAZIOSMANPASA-BULVARI-0002","40.302837","36.554624","Tokat","Soğukpınar Mahallesi","Soğukpınar","Gaziosmanpaşa Bulvarı","2","NORMAL","TEK_YONLU","L","AVAILABLE"
"1a600b1b-b17d-49fc-a591-885ce58609fc","TOKAT-SOGUKPINAR-BEHZAT-BULVARI-0005","40.305239","36.55528","Tokat","Soğukpınar Mahallesi","Soğukpınar","Behzat Bulvarı","5","NORMAL","TEK_YONLU","L","AVAILABLE"
"1b85e698-a5d0-438d-8b8d-1cb6ed0c4619","TOKAT-PERAKENDE-BEHZAT-BULVARI-0006","40.296054","36.552748","Tokat","Perakende Mahallesi","Perakende","Behzat Bulvarı","6","NORMAL","TEK_YONLU","L","AVAILABLE"
"1da1caf1-8228-44a2-b3bc-f037cdcc489c","TOKAT-SOGUKPINAR-BEHZAT-BULVARI-0003","40.304679","36.554752","Tokat","Soğukpınar Mahallesi","Soğukpınar","Behzat Bulvarı","3","NORMAL","TEK_YONLU","L","AVAILABLE"
"215620dd-e0be-4982-bcb0-b647c9bbc446","TOKAT-SOGUKPINAR-0001","40.3093","36.553745","Tokat","Soğukpınar Mahallesi","Soğukpınar","Soğukpınar Civari","1","NORMAL","TEK_YONLU","L","AVAILABLE"
"224cd1a8-827f-4337-aa86-c18ebf4b670e","TOKAT-SOGUKPINAR-BEHZAT-BULVARI-0014","40.310041","36.553897","Tokat","Soğukpınar Mahallesi","Soğukpınar","Behzat Bulvarı","14","NORMAL","TEK_YONLU","L","AVAILABLE"
